"No.","Time","Source","Destination","Protocol","Length","Info"
"299","29.478472623","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"301","29.478595335","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"303","29.478718116","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"305","29.478840828","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"307","29.478964657","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"309","29.479087299","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"311","29.479210290","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"313","29.479333840","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"315","29.479456412","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"317","29.479579124","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"319","29.479703721","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"321","29.479825525","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"323","29.479948376","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"325","29.480071996","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"327","29.480194987","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"329","29.480317559","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"331","29.480440411","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"333","29.480564100","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"335","29.480686742","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"337","29.480808825","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"339","29.480933283","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"341","29.481055017","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"343","29.481178706","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"345","29.481302186","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"347","29.481424409","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"349","29.481547540","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"351","29.481672277","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"353","29.481794011","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"355","29.481917002","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"357","29.482039504","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"359","29.482163752","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
